"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms"
"mean66","Adverb",1,"go_past_time","G-Maze",0.0336228589914961,0.018105282283395,-0.0469550075,0.08467798,17.1723459491941,-43.6371661084843,80.9333482817777
"mean67","Adverb",2,"go_past_time","G-Maze",0.0392631219927082,0.0483134719802275,-0.02841183,0.129472675,42.1856543275856,-24.220813607461,115.451972696974
"mean68","Adverb",-1,"go_past_time","A-Maze",0.0348195822058366,0.04179643793275,-0.02747939,0.110339075,31.2143922602813,-21.3925237253727,81.7173504958158
"mean69","Adverb",0,"go_past_time","A-Maze",0.0334307569143261,0.206508360925,0.142823975,0.27378175,182.783635755821,118.957811357667,255.499031913885
"mean70","Adverb",1,"go_past_time","A-Maze",0.018215754814205,0.0466891656215,0.01199576,0.08324871,36.5910335906155,9.18854627053337,65.0357355684908
"mean71","Adverb",2,"go_past_time","A-Maze",0.0210773934121253,0.012587356679905,-0.0293438425,0.0546719925,9.85001045886304,-22.2396075999053,43.1478571642926
"mean72","Adverb",-1,"go_past_time","SPR",0.0215889674056468,0.0064427782606425,-0.03516144,0.0500499475,2.69132124146114,-13.5969637607236,21.0079025392888
"mean73","Adverb",0,"go_past_time","SPR",0.0237000133767939,0.02243826191295,-0.0228719575,0.06888619,9.1823585480116,-9.23598892829688,28.6328980115551
"mean74","Adverb",1,"go_past_time","SPR",0.0215593637937974,0.06738349622825,0.0271762725,0.111434925,26.1919504986867,10.2733145388152,44.7172075499505
"mean75","Adverb",2,"go_past_time","SPR",0.0240085957194869,0.018342988752925,-0.028456005,0.066125745,7.88779130790305,-11.6307136566442,28.9350678676882
"mean76","Adverb",-1,"total_duration","MoTR",0.0154315641473928,0.063905862125,0.034196385,0.0948237525,29.6889121902046,15.8694086369031,44.3194365569317
"mean77","Adverb",0,"total_duration","MoTR",0.0231564856613378,0.1618211636,0.11724145,0.2082804,80.4396837383178,57.3595311900868,106.919421286406
"mean78","Adverb",1,"total_duration","MoTR",0.0184970625725058,0.088730581975,0.0522144325,0.126913925,31.723580973137,18.6384813982789,45.3703204891532
"mean79","Adverb",2,"total_duration","MoTR",0.0249895884824584,0.0337523413740325,-0.0146396,0.0839502825,12.8931874557012,-5.54618532965668,32.6027055742522
"mean80","Adverb",-1,"FPReg","MoTR",0.201497800373012,-0.052314722262,-0.44010465,0.351512975,-0.00410502331003247,-0.0351546441605851,0.0283698111015629
"mean81","Adverb",0,"FPReg","MoTR",0.29169697184978,1.28720769775,0.737401075,1.8809625,0.0461428243651703,0.0233636397185629,0.0736415569350436
"mean82","Adverb",1,"FPReg","MoTR",0.396792721448122,1.8418982715,1.089062,2.61131075,0.0280970349899923,0.0140672910395739,0.0465728539653211
"mean83","Adverb",2,"FPReg","MoTR",0.18397699252886,0.5687477156525,0.21821735,0.928809175,0.0562369864539753,0.021115427562035,0.0926343079391869
