"","experiment","sent_rg_id","metric","measure","std_error","estimate","lower_95","upper_95","mean","lower_95_ms","upper_95_ms"
"mean73","Adverb",0,"go_past_time","SPR",0.0259698828771182,0.0265723562314799,-0.0219714525,0.0798425825,14.4260615861486,-12.3067540067021,43.8511217871646
"mean74","Adverb",1,"go_past_time","SPR",0.0261390677351158,0.07831695221175,0.03028177,0.132689,41.0701212753467,15.8520163484573,70.7977899699296
"mean75","Adverb",2,"go_past_time","SPR",0.0272912246652679,0.0460253529241,-0.00633661975,0.10007215,24.8793162796208,-3.32300834161553,54.7115906348993
"mean76","Adverb",-1,"total_duration","MoTR",0.0195923993954746,0.0666081529225,0.027108615,0.104086875,32.4738724803881,13.4127412906679,51.1680685666624
"mean77","Adverb",0,"total_duration","MoTR",0.0286332603512348,0.168020047175,0.1112993,0.223480625,90.9794787882322,59.3896931905905,122.158015828507
"mean78","Adverb",1,"total_duration","MoTR",0.0370037790777296,0.1113734428725,0.0469679475,0.1935002,50.7728104065004,21.3780236763494,96.6259995970536
"mean79","Adverb",2,"total_duration","MoTR",0.0503728794271177,0.09189850648325,0.0017412655,0.200537875,47.2409932794872,0.96810865974129,104.744011252785
"mean80","Adverb",-1,"FPReg","MoTR",0.281827275346088,0.02836123345925,-0.53550845,0.57813965,0.00216963966134389,-0.0356183491796568,0.0422275244781319
"mean81","Adverb",0,"FPReg","MoTR",0.297504245732631,1.049046588875,0.478211375,1.6588415,0.0398049832213149,0.0166409520997448,0.0662954792358914
"mean82","Adverb",1,"FPReg","MoTR",0.451589920719101,1.05602907056,0.171896325,1.9502555,0.0139796769595703,0.00194702568183676,0.0297569782309512
