expr_id,cond_id,para_nr,word,word_nr,response_true,sent_rg_id,sent_rg,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg
1,3,71,next,7,no,0,Adverb,no,1.0,502.0,502.0,502.0,502.0,502.0,1.0,0.0
1,3,71,"month,",8,no,0,Adverb,no,1.0,183.0,183.0,183.0,183.0,183.0,1.0,0.0
1,3,71,but,9,no,1,AdverP1,no,1.0,308.0,308.0,308.0,308.0,308.0,1.0,0.0
1,3,71,Fred,10,no,1,AdverP1,no,1.0,374.0,374.0,374.0,374.0,374.0,1.0,0.0
1,3,71,won't,11,no,1,AdverP1,no,1.0,384.0,384.0,384.0,384.0,384.0,1.0,0.0
1,3,71,finish,12,no,1,AdverP1,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,71,his.,13,no,2,AdverP2,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,70,John,0,yes,-1,other,yes,1.0,684.0,684.0,684.0,684.0,684.0,1.0,0.0
1,3,70,hired,1,yes,-1,other,yes,1.0,313.0,313.0,313.0,313.0,313.0,1.0,0.0
1,3,70,the,2,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,70,clerk,3,yes,-1,other,yes,1.0,435.0,435.0,435.0,435.0,435.0,1.0,0.0
1,3,70,he,4,yes,-1,other,yes,1.0,186.0,186.0,186.0,186.0,186.0,1.0,0.0
1,3,70,will,5,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,70,promote,6,yes,-1,other,yes,1.0,624.0,624.0,624.0,624.0,624.0,1.0,0.0
1,3,70,last,7,yes,0,Adverb,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,70,"month,",8,yes,0,Adverb,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,70,but,9,yes,1,AdverP1,yes,1.0,619.0,619.0,619.0,619.0,619.0,1.0,0.0
1,3,70,he,10,yes,1,AdverP1,yes,1.0,238.0,238.0,238.0,238.0,238.0,1.0,0.0
1,3,70,fired,11,yes,1,AdverP1,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,70,another,12,yes,2,AdverP2,yes,1.0,378.0,378.0,378.0,378.0,378.0,1.0,0.0
1,3,70,employee.,13,yes,2,AdverP2,yes,1.0,309.0,309.0,309.0,309.0,309.0,1.0,0.0
1,3,69,Jim,0,yes,-1,other,yes,1.0,504.0,504.0,504.0,504.0,504.0,1.0,0.0
1,3,69,painted,1,yes,-1,other,yes,1.0,689.0,689.0,689.0,689.0,689.0,1.0,0.0
1,3,69,the,2,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,69,picture,3,yes,-1,other,yes,1.0,1121.0,1121.0,1121.0,1121.0,1121.0,1.0,0.0
1,3,69,he,4,yes,-1,other,yes,1.0,312.0,312.0,312.0,312.0,312.0,1.0,0.0
1,3,69,will,5,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,69,display,6,yes,-1,other,yes,1.0,558.0,558.0,558.0,558.0,558.0,1.0,0.0
1,3,69,last,7,yes,0,Adverb,yes,1.0,495.0,495.0,495.0,495.0,495.0,1.0,0.0
1,3,69,"month,",8,yes,0,Adverb,yes,1.0,185.0,185.0,185.0,185.0,185.0,1.0,0.0
1,3,69,but,9,yes,1,AdverP1,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,69,he,10,yes,1,AdverP1,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,69,isn't,11,yes,1,AdverP1,yes,1.0,371.0,371.0,371.0,371.0,371.0,1.0,0.0
1,3,69,happy,12,yes,1,AdverP1,yes,1.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0
1,3,69,with,13,yes,2,AdverP2,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,69,it.,14,yes,2,AdverP2,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,68,Cathy,0,no,-1,other,no,1.0,832.0,832.0,832.0,832.0,832.0,1.0,0.0
1,3,68,will,1,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,68,burn,2,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,68,the,3,no,-1,other,no,1.0,248.0,248.0,248.0,248.0,248.0,1.0,0.0
1,3,68,wood,4,no,-1,other,no,1.0,313.0,313.0,313.0,313.0,313.0,1.0,0.0
1,3,68,she,5,no,-1,other,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,68,gathered,6,no,-1,other,no,1.0,434.0,434.0,434.0,434.0,434.0,1.0,0.0
1,3,68,next,7,no,0,Adverb,no,1.0,249.0,249.0,249.0,249.0,249.0,1.0,0.0
1,3,68,"week,",8,no,0,Adverb,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,68,but,9,no,1,AdverP1,no,1.0,308.0,308.0,308.0,308.0,308.0,1.0,0.0
1,3,68,she,10,no,1,AdverP1,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,68,will,11,no,1,AdverP1,no,1.0,310.0,310.0,310.0,310.0,310.0,1.0,0.0
1,3,68,save,12,no,1,AdverP1,no,1.0,191.0,191.0,191.0,191.0,191.0,1.0,0.0
1,3,68,some,13,no,2,AdverP2,no,1.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0
1,3,68,of,14,no,2,AdverP2,no,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,68,it.,15,no,2,AdverP2,no,1.0,184.0,184.0,184.0,184.0,184.0,1.0,0.0
1,3,67,Mark,0,yes,-1,other,yes,1.0,937.0,1556.0,0.0,0.0,0.0,0.0,0.0
1,3,67,will,1,yes,-1,other,yes,1.0,316.0,316.0,0.0,0.0,0.0,0.0,0.0
1,3,67,answer,2,yes,-1,other,yes,1.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0
1,3,67,the,3,yes,-1,other,yes,1.0,247.0,2485.0,247.0,2485.0,4727.0,1.0,1.0
1,3,67,email,4,yes,-1,other,yes,1.0,371.0,371.0,371.0,371.0,371.0,1.0,0.0
1,3,67,he,5,yes,-1,other,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,67,got,6,yes,-1,other,yes,1.0,247.0,247.0,247.0,247.0,247.0,1.0,0.0
1,3,67,next,7,yes,0,Adverb,yes,1.0,306.0,306.0,306.0,306.0,306.0,1.0,0.0
1,3,67,"week,",8,yes,0,Adverb,yes,1.0,370.0,370.0,370.0,370.0,370.0,1.0,0.0
1,3,67,but,9,yes,1,AdverP1,yes,1.0,315.0,315.0,315.0,315.0,315.0,1.0,0.0
1,3,67,he,10,yes,1,AdverP1,yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,67,doesn't,11,yes,1,AdverP1,yes,1.0,372.0,372.0,372.0,372.0,372.0,1.0,0.0
1,3,67,know,12,yes,1,AdverP1,yes,1.0,374.0,374.0,374.0,374.0,374.0,1.0,0.0
1,3,67,what,13,yes,2,AdverP2,yes,1.0,318.0,318.0,318.0,318.0,318.0,1.0,0.0
1,3,67,to,14,yes,2,AdverP2,yes,1.0,190.0,190.0,190.0,190.0,190.0,1.0,0.0
1,3,67,write.,15,yes,2,AdverP2,yes,1.0,3511.0,3511.0,3511.0,3511.0,3511.0,1.0,0.0
