"surp","y_lower","y_upper","y","delta","psychometric","prev_word","target_word"
10.8,1.96389667034128,16.8341621307767,10.6452496563043,-348.105302673517,"gaze_duration",TRUE,"wt-1"
10.9,1.99943850025471,16.2525150137806,10.6566202844446,-348.105302673517,"gaze_duration",TRUE,"wt-1"
11,1.75395175321057,16.5387493433495,10.7819976613721,-348.105302673517,"gaze_duration",TRUE,"wt-1"
11.1,1.33990777532784,16.4781433120929,10.7877948188591,-348.105302673517,"gaze_duration",TRUE,"wt-1"
11.2,2.10111527877763,15.8555869634405,10.9574038114638,-348.105302673517,"gaze_duration",TRUE,"wt-1"
11.3,1.68633859038738,15.9826150262719,10.9555260875771,-348.105302673517,"gaze_duration",TRUE,"wt-1"
11.4,2.08578682613046,16.986887945569,11.1571213117874,-348.105302673517,"gaze_duration",TRUE,"wt-1"
11.5,1.79062378270839,16.5126995511189,11.1502563068225,-348.105302673517,"gaze_duration",TRUE,"wt-1"
11.6,2.21460491788747,16.9569058940349,10.9756120253335,-348.105302673517,"gaze_duration",TRUE,"wt-1"
11.7,1.22290224866117,16.6638733966087,11.1679667827564,-348.105302673517,"gaze_duration",TRUE,"wt-1"
11.8,2.10315861831788,17.0760241538467,11.3243916255307,-348.105302673517,"gaze_duration",TRUE,"wt-1"
11.9,2.09713817972926,16.389328986648,11.206772799272,-348.105302673517,"gaze_duration",TRUE,"wt-1"
12,2.45307363100568,17.4279970264185,11.304714650678,-348.105302673517,"gaze_duration",TRUE,"wt-1"
12.1,2.64848164275958,17.3584757606681,11.4051238840464,-348.105302673517,"gaze_duration",TRUE,"wt-1"
12.2,2.4468539864485,17.3269511317826,11.3815923815727,-348.105302673517,"gaze_duration",TRUE,"wt-1"
12.3,2.74795883684811,17.7636603447847,11.5042775444533,-348.105302673517,"gaze_duration",TRUE,"wt-1"
12.4,2.15824285597751,17.3774120866389,11.5051700387114,-348.105302673517,"gaze_duration",TRUE,"wt-1"
12.5,2.42950627800093,17.9186556230807,11.4689890411628,-348.105302673517,"gaze_duration",TRUE,"wt-1"
