,experiment,metric,measure,lm_fit,n_subj,n_item,Q1,median,Q3,failed_mean,power_Q1,power_median,power_Q3
65,Adverb,gaze_duration,MoTR,good,80,24,30.0527652274206,35.2702237529688,40.2834962456554,0.00666666666666667,0.82,0.948979591836735,0.98
66,Adverb,go_past_time,MoTR,good,10,24,69.3667422103234,79.9758144786674,91.1949801674806,0.0166666666666667,0.275510204081633,0.43,0.556701030927835
67,Adverb,go_past_time,MoTR,good,20,24,69.3667422103234,79.9758144786674,91.1949801674806,0.00666666666666667,0.515151515151515,0.575757575757576,0.8
68,Adverb,go_past_time,MoTR,good,40,24,69.3667422103234,79.9758144786674,91.1949801674806,0.0166666666666667,0.806122448979592,0.908163265306122,0.919191919191919
69,Adverb,go_past_time,MoTR,good,60,24,69.3667422103234,79.9758144786674,91.1949801674806,0.00333333333333334,0.93939393939394,1,1
70,Adverb,go_past_time,MoTR,good,80,24,69.3667422103234,79.9758144786674,91.1949801674806,0.00333333333333334,0.98,1,1
71,Adverb,go_past_time,G-Maze,good,10,24,115.68358896458,157.305352993484,198.158548500782,0,0.2,0.58,0.65
72,Adverb,go_past_time,G-Maze,good,20,24,115.68358896458,157.305352993484,198.158548500782,0.00333333333333334,0.49,0.787878787878788,0.93
73,Adverb,go_past_time,G-Maze,good,40,24,115.68358896458,157.305352993484,198.158548500782,0,0.8,0.95,1
74,Adverb,go_past_time,G-Maze,good,60,24,115.68358896458,157.305352993484,198.158548500782,0.0133333333333333,0.795918367346939,0.979591836734694,1
75,Adverb,go_past_time,G-Maze,good,80,24,115.68358896458,157.305352993484,198.158548500782,0.0133333333333333,0.838383838383838,0.94949494949495,1
76,Adverb,go_past_time,A-Maze,ill,10,24,138.384869426642,159.602083891809,181.35651552253,0.01,0.686868686868687,0.808080808080808,0.919191919191919
77,Adverb,go_past_time,A-Maze,ill,20,24,138.384869426642,159.602083891809,181.35651552253,0.0166666666666667,0.95959595959596,0.979591836734694,0.989795918367347
78,Adverb,go_past_time,A-Maze,ill,40,24,138.384869426642,159.602083891809,181.35651552253,0.03,1,1,1
79,Adverb,go_past_time,A-Maze,ill,60,24,138.384869426642,159.602083891809,181.35651552253,0.0266666666666667,1,1,1
80,Adverb,go_past_time,A-Maze,ill,80,24,138.384869426642,159.602083891809,181.35651552253,0.0133333333333333,1,1,1
81,Adverb,go_past_time,SPR,ill,10,24,-0.57309692384122,4.3924040172073,9.36410721805684,0.0133333333333333,0.0352020202020202,0.106477142559617,0.147856112141826
82,Adverb,go_past_time,SPR,ill,20,24,-0.57309692384122,4.3924040172073,9.36410721805684,0.00666666666666667,0.09,0.171616161616162,0.257020202020202
83,Adverb,go_past_time,SPR,ill,40,24,-0.57309692384122,4.3924040172073,9.36410721805684,0.02,0.183673469387755,0.360510204081633,0.512704363219827
84,Adverb,go_past_time,SPR,ill,60,24,-0.57309692384122,4.3924040172073,9.36410721805684,0.0216666666666667,0.267728303442589,0.445485785691971,0.636267006802721
85,Adverb,go_past_time,SPR,ill,80,24,-0.57309692384122,4.3924040172073,9.36410721805684,0.0266666666666667,0.372767857142857,0.491666666666667,0.690721649484536
86,Adverb,total_duration,MoTR,good,10,24,81.9692722763145,92.566302874084,103.73863528087,0.01,0.333333333333333,0.469387755102041,0.66
87,Adverb,total_duration,MoTR,good,20,24,81.9692722763145,92.566302874084,103.73863528087,0.00666666666666669,0.75,0.878787878787879,0.898989898989899
88,Adverb,total_duration,MoTR,good,40,24,81.9692722763145,92.566302874084,103.73863528087,0,0.95,0.96,1
89,Adverb,total_duration,MoTR,good,60,24,81.9692722763145,92.566302874084,103.73863528087,0.00333333333333335,1,1,1
90,Adverb,total_duration,MoTR,good,80,24,81.9692722763145,92.566302874084,103.73863528087,0.00999999999999999,0.99,1,1
91,Coordination,go_past_time,MoTR,good,100,24,18.1090226557984,25.1488549649679,32.2588907406967,0.0233333333333333,0.47,0.705263157894737,0.989795918367347
92,Coordination,go_past_time,MoTR,good,120,24,18.1090226557984,25.1488549649679,32.2588907406967,0.0166666666666667,0.448979591836735,0.88,0.979381443298969
93,Coordination,go_past_time,MoTR,good,140,24,18.1090226557984,25.1488549649679,32.2588907406967,0.03,0.656565656565657,0.845360824742268,0.968421052631579
94,Coordination,go_past_time,MoTR,good,160,24,18.1090226557984,25.1488549649679,32.2588907406967,0.0133333333333333,0.69,0.94949494949495,0.979381443298969
95,Coordination,go_past_time,MoTR,good,180,24,18.1090226557984,25.1488549649679,32.2588907406967,0.0333333333333333,0.731958762886598,0.948453608247423,0.979166666666667
96,Coordination,go_past_time,MoTR,good,200,24,18.1090226557984,25.1488549649679,32.2588907406967,0.0266666666666667,0.775510204081633,0.938144329896907,1
97,Coordination,go_past_time,G-Maze,ill,100,24,-51.7776971584838,-21.2455236090426,6.89275194191242,0.0133333333333333,0.377551020408163,0.151515151515152,0.0303030303030303
98,Coordination,go_past_time,G-Maze,ill,120,24,-51.7776971584838,-21.2455236090426,6.89275194191242,0.00999999999999999,0.585858585858586,0.16,0.0408163265306122
99,Coordination,go_past_time,G-Maze,ill,140,24,-51.7776971584838,-21.2455236090426,6.89275194191242,0.0133333333333333,0.56,0.101010101010101,0.0721649484536082
100,Coordination,go_past_time,G-Maze,ill,160,24,-51.7776971584838,-21.2455236090426,6.89275194191242,0.00333333333333334,0.59,0.18,0.101010101010101
101,Coordination,go_past_time,G-Maze,ill,180,24,-51.7776971584838,-21.2455236090426,6.89275194191242,0.0166666666666667,0.653061224489796,0.1,0.0618556701030928
