expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_pass_time,FPFix,FPReg
1,2,14,applauded,2,Yes,Yes,1,702.0,702.0,702.0,702.0,702.0,1.0,0.0
1,2,14,the,3,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,14,"guitarist,",4,Yes,Yes,1,649.0,649.0,649.0,649.0,649.0,1.0,0.0
1,2,14,and,5,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,14,the,6,Yes,Yes,1,402.0,402.0,402.0,402.0,402.0,1.0,0.0
1,2,14,band,7,Yes,Yes,1,272.0,272.0,272.0,272.0,272.0,1.0,0.0
1,2,14,cheered,8,Yes,Yes,1,581.0,581.0,581.0,581.0,581.0,1.0,0.0
1,2,14,for,9,Yes,Yes,1,537.0,537.0,537.0,537.0,537.0,1.0,0.0
1,2,14,him,10,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,14,very,11,Yes,Yes,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,14,loudly.,12,Yes,Yes,1,466.0,466.0,466.0,466.0,466.0,1.0,0.0
1,2,15,Jim,0,No,Yes,0,704.0,704.0,704.0,704.0,704.0,1.0,0.0
1,2,15,listened,1,No,Yes,0,105.0,105.0,105.0,105.0,105.0,1.0,0.0
1,2,15,to,2,No,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,15,the,3,No,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,15,"pianist,",4,No,Yes,0,864.0,864.0,864.0,864.0,864.0,1.0,0.0
1,2,15,and,5,No,Yes,0,591.0,591.0,591.0,591.0,591.0,1.0,0.0
1,2,15,the,6,No,Yes,0,107.0,107.0,107.0,107.0,107.0,1.0,0.0
1,2,15,singer,7,No,Yes,0,235.0,235.0,235.0,235.0,235.0,1.0,0.0
1,2,15,watched,8,No,Yes,0,410.0,410.0,410.0,410.0,410.0,1.0,0.0
1,2,15,the,9,No,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,15,organist,10,No,Yes,0,1425.0,1425.0,1425.0,1425.0,1425.0,1.0,0.0
1,2,15,at,11,No,Yes,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,15,the,12,No,Yes,0,83.0,83.0,83.0,83.0,83.0,1.0,0.0
1,2,15,concert.,13,No,Yes,0,489.0,489.0,489.0,489.0,489.0,1.0,0.0
1,2,16,The,0,No,No,1,745.0,745.0,745.0,745.0,745.0,1.0,0.0
1,2,16,ranger,1,No,No,1,160.0,160.0,160.0,160.0,160.0,1.0,0.0
1,2,16,gave,2,No,No,1,217.0,217.0,217.0,217.0,217.0,1.0,0.0
1,2,16,matches,3,No,No,1,623.0,623.0,623.0,623.0,623.0,1.0,0.0
1,2,16,to,4,No,No,1,145.0,145.0,145.0,145.0,145.0,1.0,0.0
1,2,16,the,5,No,No,1,468.0,468.0,468.0,468.0,468.0,1.0,0.0
1,2,16,"camper,",6,No,No,1,670.0,670.0,670.0,670.0,670.0,1.0,0.0
1,2,16,and,7,No,No,1,978.0,978.0,978.0,978.0,978.0,1.0,0.0
1,2,16,his,8,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,16,friend,9,No,No,1,125.0,125.0,125.0,125.0,125.0,1.0,0.0
1,2,16,made,10,No,No,1,517.0,517.0,517.0,517.0,517.0,1.0,0.0
1,2,16,a,11,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,16,fire,12,No,No,1,496.0,496.0,496.0,496.0,496.0,1.0,0.0
1,2,16,by,13,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,16,the,14,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,16,tent.,15,No,No,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,There,0,Because of rumors.,Because of rumors.,1,1370.0,1370.0,1370.0,1370.0,1370.0,1.0,0.0
2,1,1,are,1,Because of rumors.,Because of rumors.,1,403.0,403.0,403.0,403.0,403.0,1.0,0.0
2,1,1,now,2,Because of rumors.,Because of rumors.,1,642.0,642.0,642.0,642.0,642.0,1.0,0.0
2,1,1,rumblings,3,Because of rumors.,Because of rumors.,1,1555.0,1555.0,1555.0,1555.0,1555.0,1.0,0.0
2,1,1,that,4,Because of rumors.,Because of rumors.,1,809.0,809.0,809.0,809.0,809.0,1.0,0.0
2,1,1,Apple,5,Because of rumors.,Because of rumors.,1,817.0,817.0,817.0,817.0,817.0,1.0,0.0
2,1,1,might,6,Because of rumors.,Because of rumors.,1,848.0,848.0,848.0,848.0,848.0,1.0,0.0
2,1,1,soon,7,Because of rumors.,Because of rumors.,1,816.0,816.0,816.0,816.0,816.0,1.0,0.0
2,1,1,invade,8,Because of rumors.,Because of rumors.,1,795.0,795.0,795.0,795.0,795.0,1.0,0.0
2,1,1,the,9,Because of rumors.,Because of rumors.,1,600.0,600.0,600.0,600.0,600.0,1.0,0.0
2,1,1,smart,10,Because of rumors.,Because of rumors.,1,735.0,735.0,735.0,735.0,735.0,1.0,0.0
2,1,1,watch,11,Because of rumors.,Because of rumors.,1,1065.0,1065.0,1065.0,1065.0,1065.0,1.0,0.0
2,1,1,"space,",12,Because of rumors.,Because of rumors.,1,701.0,701.0,701.0,701.0,701.0,1.0,0.0
2,1,1,though,13,Because of rumors.,Because of rumors.,1,782.0,782.0,782.0,782.0,782.0,1.0,0.0
2,1,1,the,14,Because of rumors.,Because of rumors.,1,746.0,746.0,746.0,746.0,746.0,1.0,0.0
2,1,1,company,15,Because of rumors.,Because of rumors.,1,781.0,781.0,781.0,781.0,781.0,1.0,0.0
2,1,1,is,16,Because of rumors.,Because of rumors.,1,134.0,134.0,134.0,134.0,134.0,1.0,0.0
2,1,1,maintaining,17,Because of rumors.,Because of rumors.,1,1732.0,1732.0,1732.0,1732.0,1732.0,1.0,0.0
2,1,1,its,18,Because of rumors.,Because of rumors.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,customary,19,Because of rumors.,Because of rumors.,1,1107.0,1107.0,1107.0,1107.0,1107.0,1.0,0.0
2,1,1,silence.,20,Because of rumors.,Because of rumors.,1,1185.0,1185.0,1185.0,1185.0,1185.0,1.0,0.0
2,1,1,The,21,Because of rumors.,Because of rumors.,1,196.0,196.0,196.0,196.0,196.0,1.0,0.0
2,1,1,watch,22,Because of rumors.,Because of rumors.,1,693.0,693.0,693.0,693.0,693.0,1.0,0.0
2,1,1,doesn't,23,Because of rumors.,Because of rumors.,1,602.0,602.0,602.0,602.0,602.0,1.0,0.0
2,1,1,have,24,Because of rumors.,Because of rumors.,1,1024.0,1024.0,1024.0,1024.0,1024.0,1.0,0.0
2,1,1,a,25,Because of rumors.,Because of rumors.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
