expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,right_bounded_rt,go_past_time,FPFix,FPReg,RegIn_excl,RegIn_incl
2,1,3,"""three",4,No,Everywhere in the United States.,0.0,309.0,309.0,309.0,309.0,309.0,1.0,0.0,0,0
2,1,3,strikes,5,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,and,6,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,you're,7,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,"out""",8,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,law,9,No,Everywhere in the United States.,0.0,177.0,177.0,177.0,177.0,177.0,1.0,0.0,0,0
2,1,3,will,10,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,be,11,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,a,12,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,financial,13,No,Everywhere in the United States.,0.0,422.0,422.0,422.0,422.0,422.0,1.0,0.0,0,0
2,1,3,disaster,14,No,Everywhere in the United States.,0.0,205.0,205.0,205.0,205.0,205.0,1.0,0.0,0,0
2,1,3,for,15,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,taxpayers,16,No,Everywhere in the United States.,0.0,472.0,472.0,472.0,472.0,472.0,1.0,0.0,0,0
2,1,3,who,17,No,Everywhere in the United States.,0.0,177.0,177.0,177.0,177.0,177.0,1.0,0.0,0,0
2,1,3,care,18,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,about,19,No,Everywhere in the United States.,0.0,403.0,403.0,403.0,403.0,403.0,1.0,0.0,0,0
2,1,3,education,20,No,Everywhere in the United States.,0.0,297.0,297.0,297.0,297.0,297.0,1.0,0.0,0,0
2,1,3,and,21,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,other,22,No,Everywhere in the United States.,0.0,400.0,400.0,400.0,400.0,400.0,1.0,0.0,0,0
2,1,3,vital,23,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,services.,24,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,But,25,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,it's,26,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,far,27,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,from,28,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,clear,29,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,that,30,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,the,31,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,law,32,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,can,33,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,even,34,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,be,35,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,credited,36,No,Everywhere in the United States.,0.0,447.0,447.0,447.0,447.0,447.0,1.0,0.0,0,0
2,1,3,with,37,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,a,38,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,reduction,39,No,Everywhere in the United States.,0.0,201.0,201.0,201.0,201.0,201.0,1.0,0.0,0,0
2,1,3,in,40,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,crime,41,No,Everywhere in the United States.,0.0,347.0,347.0,347.0,347.0,347.0,1.0,0.0,0,0
2,1,3,in,42,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,California.,43,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,While,44,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,it's,45,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,true,46,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,that,47,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,crime,48,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,declined,49,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,in,50,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,California,51,No,Everywhere in the United States.,0.0,192.0,192.0,192.0,192.0,192.0,1.0,0.0,0,0
2,1,3,last,52,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,"year,",53,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,crime,54,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,also,55,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,dropped,56,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,3,nationwide.,57,No,Everywhere in the United States.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,Liza,0,No,Because her work is interrupted needlessly.,0.0,250.0,250.0,250.0,250.0,250.0,1.0,0.0,0,0
2,1,4,was,1,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,in,2,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,a,3,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,bad,4,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,"temper,",5,No,Because her work is interrupted needlessly.,0.0,480.0,480.0,480.0,480.0,480.0,1.0,0.0,0,0
2,1,4,for,6,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,she,7,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,was,8,No,Because her work is interrupted needlessly.,0.0,450.0,450.0,450.0,450.0,450.0,1.0,0.0,0,0
2,1,4,mixing,9,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,the,10,No,Because her work is interrupted needlessly.,0.0,205.0,205.0,205.0,205.0,205.0,1.0,0.0,0,0
2,1,4,Christmas,11,No,Because her work is interrupted needlessly.,0.0,226.0,226.0,226.0,226.0,226.0,1.0,0.0,0,0
2,1,4,puddings,12,No,Because her work is interrupted needlessly.,0.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0,0
2,1,4,in,13,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,the,14,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,"kitchen,",15,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,and,16,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,had,17,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,been,18,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,drawn,19,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,from,20,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,"them,",21,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,with,22,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,a,23,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,raisin,24,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,still,25,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,on,26,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,her,27,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,"cheek,",28,No,Because her work is interrupted needlessly.,0.0,250.0,250.0,250.0,250.0,250.0,1.0,0.0,0,0
2,1,4,by,29,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,Nana's,30,No,Because her work is interrupted needlessly.,0.0,459.0,459.0,459.0,459.0,459.0,1.0,0.0,0,0
2,1,4,absurd,31,No,Because her work is interrupted needlessly.,0.0,216.0,216.0,216.0,216.0,216.0,1.0,0.0,0,0
2,1,4,suspicions.,32,No,Because her work is interrupted needlessly.,0.0,724.0,724.0,0.0,0.0,0.0,0.0,0.0,0,1
2,1,4,She,33,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,thought,34,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,the,35,No,Because her work is interrupted needlessly.,0.0,161.0,161.0,0.0,0.0,0.0,0.0,0.0,0,1
2,1,4,best,36,No,Because her work is interrupted needlessly.,0.0,457.0,457.0,0.0,0.0,0.0,0.0,0.0,0,1
2,1,4,way,37,No,Because her work is interrupted needlessly.,0.0,301.0,301.0,301.0,301.0,1643.0,1.0,1.0,0,0
2,1,4,of,38,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,getting,39,No,Because her work is interrupted needlessly.,0.0,676.0,676.0,676.0,676.0,676.0,1.0,0.0,0,0
2,1,4,a,40,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,little,41,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,quiet,42,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,was,43,No,Because her work is interrupted needlessly.,0.0,448.0,448.0,448.0,448.0,448.0,1.0,0.0,0,0
2,1,4,to,44,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,take,45,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,Nana,46,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,to,47,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,the,48,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,nursery,49,No,Because her work is interrupted needlessly.,0.0,251.0,251.0,251.0,251.0,251.0,1.0,0.0,0,0
2,1,4,for,50,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,a,51,No,Because her work is interrupted needlessly.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,1,4,"moment,",52,No,Because her work is interrupted needlessly.,0.0,171.0,171.0,171.0,171.0,171.0,1.0,0.0,0,0
