expr_id,cond_id,para_nr,word,word_nr,response_true,response_chosen,correctness,first_duration,total_duration,gaze_duration,J-I,K-I,K-J,right_bounded_rt,right_bounded_rt2,P-O,O-K,go_pass_time,FPFix,FPReg
1,2,12,"boyfriend,",3,Yes,Yes,1,579,579,579,0,0,0,579,579,0,0,579,1,0
1,2,12,and,4,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,12,her,5,Yes,Yes,1,150,150,150,0,0,0,150,150,0,0,150,1,0
1,2,12,friend,6,Yes,Yes,1,451,451,451,0,0,0,451,451,0,0,451,1,0
1,2,12,felt,7,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,12,uncomfortable,8,Yes,Yes,1,520,520,520,0,0,0,520,520,0,0,520,1,0
1,2,12,watching,9,Yes,Yes,1,399,399,399,0,0,0,399,399,0,0,399,1,0
1,2,12,them.,10,Yes,Yes,1,5173,5173,5173,0,0,0,5173,5173,0,0,5173,1,0
1,2,13,The,0,Yes,Yes,1,1318,1318,0,0,-1318,-1318,0,0,0,0,0,0,0
1,2,13,producer,1,Yes,Yes,1,10980,13030,10980,2050,0,-2050,13030,13030,0,2050,14348,1,1
1,2,13,replaced,2,Yes,Yes,1,400,400,400,0,0,0,400,400,0,0,400,1,0
1,2,13,the,3,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,13,"actor,",4,Yes,Yes,1,83,1634,83,1551,0,-1551,83,83,0,0,83,1,0
1,2,13,and,5,Yes,Yes,1,497,568,497,71,0,-71,497,497,0,0,593,1,1
1,2,13,the,6,Yes,Yes,1,400,400,0,0,-400,-400,0,0,0,0,0,0,0
1,2,13,actress,7,Yes,Yes,1,450,450,450,0,0,0,450,450,0,0,450,1,0
1,2,13,quit,8,Yes,Yes,1,101,627,101,526,0,-526,101,101,0,0,101,1,0
1,2,13,the,9,Yes,Yes,1,179,179,179,0,0,0,179,179,0,0,179,1,0
1,2,13,movie,10,Yes,Yes,1,200,753,200,553,0,-553,200,200,0,0,200,1,0
1,2,13,after,11,Yes,Yes,1,250,575,250,325,0,-325,250,250,0,0,250,1,0
1,2,13,the,12,Yes,Yes,1,301,701,301,400,0,-400,701,701,0,400,4031,1,1
1,2,13,fight.,13,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,14,The,0,Yes,Yes,1,493,493,493,0,0,0,493,493,0,0,493,1,0
1,2,14,audience,1,Yes,Yes,1,550,550,550,0,0,0,550,550,0,0,550,1,0
1,2,14,applauded,2,Yes,Yes,1,904,904,904,0,0,0,904,904,0,0,904,1,0
1,2,14,the,3,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,14,"guitarist,",4,Yes,Yes,1,621,621,621,0,0,0,621,621,0,0,621,1,0
1,2,14,and,5,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,14,the,6,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,14,band,7,Yes,Yes,1,506,506,506,0,0,0,506,506,0,0,506,1,0
1,2,14,cheered,8,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,14,for,9,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,14,him,10,Yes,Yes,1,178,178,178,0,0,0,178,178,0,0,178,1,0
1,2,14,very,11,Yes,Yes,1,578,1010,578,432,0,-432,578,578,0,0,578,1,0
1,2,14,loudly.,12,Yes,Yes,1,495,495,495,0,0,0,495,495,0,0,927,1,1
1,2,15,Jim,0,No,No,1,748,1003,0,255,-748,-1003,0,0,0,0,0,0,0
1,2,15,listened,1,No,No,1,248,455,248,207,0,-207,377,377,0,129,1125,1,1
1,2,15,to,2,No,No,1,178,178,178,0,0,0,178,178,0,0,178,1,0
1,2,15,the,3,No,No,1,117,611,117,494,0,-494,117,117,0,0,117,1,0
1,2,15,"pianist,",4,No,No,1,832,1205,832,373,0,-373,832,832,0,0,832,1,0
1,2,15,and,5,No,No,1,797,1219,797,422,0,-422,797,797,0,0,797,1,0
1,2,15,the,6,No,No,1,596,596,596,0,0,0,596,596,0,0,596,1,0
1,2,15,singer,7,No,No,1,702,1047,702,345,0,-345,702,702,0,0,702,1,0
1,2,15,watched,8,No,No,1,1349,1871,1349,522,0,-522,1349,1349,0,0,1349,1,0
1,2,15,the,9,No,No,1,75,928,75,853,0,-853,75,75,0,0,75,1,0
1,2,15,organist,10,No,No,1,427,724,427,297,0,-297,427,427,0,0,427,1,0
